Zeitstempel,What's the address of the property?,What's the price per month?,What's the link to the property?
05.03.2026 14:40:29,"747 Geary St, Oakland, CA 94609","$2,895",https://www.zillow.com/b/747-geary-street-oakland-ca-CYzGVt/
05.03.2026 14:41:16,"747 Geary St, Oakland, CA 94609","$2,895",https://www.zillow.com/b/747-geary-street-oakland-ca-CYzGVt/
05.03.2026 14:42:17,"747 Geary St, Oakland, CA 94609","$2,895",https://www.zillow.com/b/747-geary-street-oakland-ca-CYzGVt/
05.03.2026 14:42:24,"3711 19th Ave, San Francisco, CA","$2,810",https://www.zillow.com/apartments/san-francisco-ca/parkmerced/5XjKHx/
05.03.2026 14:42:31,"845 Sutter St APT 509, San Francisco, CA","$2,450",https://www.zillow.com/apartments/san-francisco-ca/845-sutter/5XkKMm/
05.03.2026 14:42:38,"100 Van Ness Ave #410, San Francisco, CA 94102","$2,940",https://www.zillow.com/apartments/san-francisco-ca/100-van-ness/5hJ5Sv/
05.03.2026 14:42:45,"828 Franklin St #606, San Francisco, CA 94102","$2,395",https://www.zillow.com/apartments/san-francisco-ca/828-franklin/5XkH2V/
05.03.2026 14:42:52,"923 Folsom St APT 506, San Francisco, CA 94107","$2,816",https://www.zillow.com/apartments/san-francisco-ca/923-folsom/5Yy6Np/
05.03.2026 14:42:59,"1140 Harrison St #138, San Francisco, CA 94103","$2,974",https://www.zillow.com/apartments/san-francisco-ca/hanover-soma-west/9NJsx9/
05.03.2026 14:43:06,"911 Bryant St #102, San Francisco, CA 94103","$2,704",https://www.zillow.com/apartments/san-francisco-ca/slate-residences/9NJxjf/
05.03.2026 14:43:14,"2211 Stockton St, San Francisco, CA 94133","$2,810",https://www.zillow.com/apartments/san-francisco-ca/northpoint-apartments/5XjLPJ/
05.03.2026 14:43:21,"1395 22nd St, San Francisco, CA","$2,798",https://www.zillow.com/apartments/san-francisco-ca/the-landing/9NK3gC/
05.03.2026 14:43:28,"1350 Washington St, San Francisco, CA","$2,195",https://www.zillow.com/apartments/san-francisco-ca/1350-washington-street/9NKDS7/
05.03.2026 14:43:35,"2775 Market St APT 102, San Francisco, CA 94114","$2,995",https://www.zillow.com/apartments/san-francisco-ca/2775-market-st/5XsQ4D/
